PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30361278","Artificial intelligence and deep learning in ophthalmology","Ting DSW, Pasquale LR, Peng L, Campbell JP, Lee AY, Raman R, Tan GSW, Schmetterer L, Keane PA, Wong TY.","Br J Ophthalmol. 2019 Feb;103(2):167-175. doi: 10.1136/bjophthalmol-2018-313173. Epub 2018 Oct 25.","Ting DSW","Br J Ophthalmol","2019","2018/10/27","PMC6362807","","10.1136/bjophthalmol-2018-313173"
"32030660","Deep Learning in Medical Image Analysis","Chan HP, Samala RK, Hadjiiski LM, Zhou C.","Adv Exp Med Biol. 2020;1213:3-21. doi: 10.1007/978-3-030-33128-3_1.","Chan HP","Adv Exp Med Biol","2020","2020/02/08","PMC7442218","NIHMS1617552","10.1007/978-3-030-33128-3_1"
"32315260","Artificial Intelligence in Dentistry: Chances and Challenges","Schwendicke F, Samek W, Krois J.","J Dent Res. 2020 Jul;99(7):769-774. doi: 10.1177/0022034520915714. Epub 2020 Apr 21.","Schwendicke F","J Dent Res","2020","2020/04/22","PMC7309354","","10.1177/0022034520915714"
"31825465","Artificial Intelligence and Surgical Decision-making","Loftus TJ, Tighe PJ, Filiberto AC, Efron PA, Brakenridge SC, Mohr AM, Rashidi P, Upchurch GR Jr, Bihorac A.","JAMA Surg. 2020 Feb 1;155(2):148-158. doi: 10.1001/jamasurg.2019.4917.","Loftus TJ","JAMA Surg","2020","2019/12/12","PMC7286802","NIHMS1559534","10.1001/jamasurg.2019.4917"
"29606338","Deep Learning in Radiology","McBee MP, Awan OA, Colucci AT, Ghobadi CW, Kadom N, Kansagra AP, Tridandapani S, Auffermann WF.","Acad Radiol. 2018 Nov;25(11):1472-1480. doi: 10.1016/j.acra.2018.02.018. Epub 2018 Mar 30.","McBee MP","Acad Radiol","2018","2018/04/03","","","10.1016/j.acra.2018.02.018"
"33118431","Application of Artificial Intelligence in Dentistry","Shan T, Tay FR, Gu L.","J Dent Res. 2021 Mar;100(3):232-244. doi: 10.1177/0022034520969115. Epub 2020 Oct 29.","Shan T","J Dent Res","2021","2020/10/29","","","10.1177/0022034520969115"
"33096023","Predicting Drug Response and Synergy Using a Deep Learning Model of Human Cancer Cells","Kuenzi BM, Park J, Fong SH, Sanchez KS, Lee J, Kreisberg JF, Ma J, Ideker T.","Cancer Cell. 2020 Nov 9;38(5):672-684.e6. doi: 10.1016/j.ccell.2020.09.014. Epub 2020 Oct 22.","Kuenzi BM","Cancer Cell","2020","2020/10/23","PMC7737474","NIHMS1634102","10.1016/j.ccell.2020.09.014"
"30076935","Artificial intelligence in retina","Schmidt-Erfurth U, Sadeghipour A, Gerendas BS, Waldstein SM, Bogunović H.","Prog Retin Eye Res. 2018 Nov;67:1-29. doi: 10.1016/j.preteyeres.2018.07.004. Epub 2018 Aug 1.","Schmidt-Erfurth U","Prog Retin Eye Res","2018","2018/08/05","","","10.1016/j.preteyeres.2018.07.004"
"31481587","Artificial Intelligence in Nuclear Medicine","Nensa F, Demircioglu A, Rischpler C.","J Nucl Med. 2019 Sep;60(Suppl 2):29S-37S. doi: 10.2967/jnumed.118.220590.","Nensa F","J Nucl Med","2019","2019/09/05","","","10.2967/jnumed.118.220590"
"30898381","Artificial intelligence in breast imaging","Le EPV, Wang Y, Huang Y, Hickman S, Gilbert FJ.","Clin Radiol. 2019 May;74(5):357-366. doi: 10.1016/j.crad.2019.02.006. Epub 2019 Mar 18.","Le EPV","Clin Radiol","2019","2019/03/23","","","10.1016/j.crad.2019.02.006"
"34663898","Predicting cancer outcomes with radiomics and artificial intelligence in radiology","Bera K, Braman N, Gupta A, Velcheti V, Madabhushi A.","Nat Rev Clin Oncol. 2022 Feb;19(2):132-146. doi: 10.1038/s41571-021-00560-7. Epub 2021 Oct 18.","Bera K","Nat Rev Clin Oncol","2022","2021/10/19","","","10.1038/s41571-021-00560-7"
"31011253","Application of artificial intelligence in gastroenterology","Yang YJ, Bang CS.","World J Gastroenterol. 2019 Apr 14;25(14):1666-1683. doi: 10.3748/wjg.v25.i14.1666.","Yang YJ","World J Gastroenterol","2019","2019/04/24","PMC6465941","","10.3748/wjg.v25.i14.1666"
"29749042","Miscommunication in Doctor-Patient Communication","McCabe R, Healey PGT.","Top Cogn Sci. 2018 Apr;10(2):409-424. doi: 10.1111/tops.12337.","McCabe R","Top Cogn Sci","2018","2018/05/12","PMC6033118","","10.1111/tops.12337"
"29474911","Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning","Kermany DS, Goldbaum M, Cai W, Valentim CCS, Liang H, Baxter SL, McKeown A, Yang G, Wu X, Yan F, Dong J, Prasadha MK, Pei J, Ting MYL, Zhu J, Li C, Hewett S, Dong J, Ziyar I, Shi A, Zhang R, Zheng L, Hou R, Shi W, Fu X, Duan Y, Huu VAN, Wen C, Zhang ED, Zhang CL, Li O, Wang X, Singer MA, Sun X, Xu J, Tafreshi A, Lewis MA, Xia H, Zhang K.","Cell. 2018 Feb 22;172(5):1122-1131.e9. doi: 10.1016/j.cell.2018.02.010.","Kermany DS","Cell","2018","2018/02/24","","","10.1016/j.cell.2018.02.010"
"29286945","An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU","Nemati S, Holder A, Razmi F, Stanley MD, Clifford GD, Buchman TG.","Crit Care Med. 2018 Apr;46(4):547-553. doi: 10.1097/CCM.0000000000002936.","Nemati S","Crit Care Med","2018","2017/12/30","PMC5851825","NIHMS925069","10.1097/CCM.0000000000002936"
"29989977","Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis","Shickel B, Tighe PJ, Bihorac A, Rashidi P.","IEEE J Biomed Health Inform. 2018 Sep;22(5):1589-1604. doi: 10.1109/JBHI.2017.2767063. Epub 2017 Oct 27.","Shickel B","IEEE J Biomed Health Inform","2018","2018/07/11","PMC6043423","NIHMS909394","10.1109/JBHI.2017.2767063"
"33256715","Explainability for artificial intelligence in healthcare: a multidisciplinary perspective","Amann J, Blasimme A, Vayena E, Frey D, Madai VI; Precise4Q consortium.","BMC Med Inform Decis Mak. 2020 Nov 30;20(1):310. doi: 10.1186/s12911-020-01332-6.","Amann J","BMC Med Inform Decis Mak","2020","2020/12/01","PMC7706019","","10.1186/s12911-020-01332-6"
"33688915","Use of Machine Learning Models to Predict Death After Acute Myocardial Infarction","Khera R, Haimovich J, Hurley NC, McNamara R, Spertus JA, Desai N, Rumsfeld JS, Masoudi FA, Huang C, Normand SL, Mortazavi BJ, Krumholz HM.","JAMA Cardiol. 2021 Jun 1;6(6):633-641. doi: 10.1001/jamacardio.2021.0122.","Khera R","JAMA Cardiol","2021","2021/03/10","PMC7948114","","10.1001/jamacardio.2021.0122"
"35078755","Covid-19 and Artificial Intelligence: Genome sequencing, drug development and vaccine discovery","Abubaker Bagabir S, Ibrahim NK, Abubaker Bagabir H, Hashem Ateeq R.","J Infect Public Health. 2022 Feb;15(2):289-296. doi: 10.1016/j.jiph.2022.01.011. Epub 2022 Jan 19.","Abubaker Bagabir S","J Infect Public Health","2022","2022/01/26","PMC8767913","","10.1016/j.jiph.2022.01.011"
"30397993","Legal, regulatory, and ethical frameworks for development of standards in artificial intelligence (AI) and autonomous robotic surgery","O'Sullivan S, Nevejans N, Allen C, Blyth A, Leonard S, Pagallo U, Holzinger K, Holzinger A, Sajid MI, Ashrafian H.","Int J Med Robot. 2019 Feb;15(1):e1968. doi: 10.1002/rcs.1968.","O'Sullivan S","Int J Med Robot","2019","2018/11/07","","","10.1002/rcs.1968"
"31629933","Radiomics in stratification of pancreatic cystic lesions: Machine learning in action","Dalal V, Carmicheal J, Dhaliwal A, Jain M, Kaur S, Batra SK.","Cancer Lett. 2020 Jan 28;469:228-237. doi: 10.1016/j.canlet.2019.10.023. Epub 2019 Oct 17.","Dalal V","Cancer Lett","2020","2019/10/21","PMC6927395","NIHMS1544537","10.1016/j.canlet.2019.10.023"
"35204328","Applications of Explainable Artificial Intelligence in Diagnosis and Surgery","Zhang Y, Weng Y, Lund J.","Diagnostics (Basel). 2022 Jan 19;12(2):237. doi: 10.3390/diagnostics12020237.","Zhang Y","Diagnostics (Basel)","2022","2022/02/25","PMC8870992","","10.3390/diagnostics12020237"
"33765601","Artificial intelligence: Deep learning in oncological radiomics and challenges of interpretability and data harmonization","Papadimitroulas P, Brocki L, Christopher Chung N, Marchadour W, Vermet F, Gaubert L, Eleftheriadis V, Plachouris D, Visvikis D, Kagadis GC, Hatt M.","Phys Med. 2021 Mar;83:108-121. doi: 10.1016/j.ejmp.2021.03.009. Epub 2021 Mar 22.","Papadimitroulas P","Phys Med","2021","2021/03/25","","","10.1016/j.ejmp.2021.03.009"
"35173981","Re-focusing explainability in medicine","Arbelaez Ossa L, Starke G, Lorenzini G, Vogt JE, Shaw DM, Elger BS.","Digit Health. 2022 Feb 11;8:20552076221074488. doi: 10.1177/20552076221074488. eCollection 2022 Jan-Dec.","Arbelaez Ossa L","Digit Health","2022","2022/02/17","PMC8841907","","10.1177/20552076221074488"
"33509368","Ethical and Legal Challenges of Artificial Intelligence in Nuclear Medicine","Currie G, Hawk KE.","Semin Nucl Med. 2021 Mar;51(2):120-125. doi: 10.1053/j.semnuclmed.2020.08.001. Epub 2020 Sep 11.","Currie G","Semin Nucl Med","2021","2021/01/29","","","10.1053/j.semnuclmed.2020.08.001"
